Song,Lyrics,topic_label,topic_explanation
سهران,"['وانا', 'قاعد', 'سهران', 'سهران', 'مكان', 'ناس', 'حلوه', 'ناس', 'حلوه', 'دخلت', 'واحده', 'عملت', 'قلبان', 'قمنا', 'وقلنا', 'الحلوه', 'وانا', 'قاعد', 'سهران', 'سهران', 'مكان', 'ناس', 'حلوه', 'ناس', 'حلوه', 'دخلت', 'واحده', 'عملت', 'قلبان', 'قمنا', 'وقلنا', 'الحلوه', 'لون', 'الفستان', 'للكحل', 'المرسوم', 'علي', 'قلبتها', 'جنان', 'ياه', 'جايبه', 'جمالها', 'منين', 'بتقول', 'بعيونها', 'ارض', 'اتهدي', 'عليكي', 'قدي', 'تنفع', 'غنوه', 'وانا', 'قاعد', 'سهران', 'انا', 'قاعد', 'بنهار', 'وبقول', 'يانهار', 'علي', 'حلاوتها', 'علي', 'بصتها', 'جت', 'حلتلي', 'اقوم', 'انا', 'حبيتها', 'انا', 'حبيتها', 'لون', 'الفستان', 'للكحل', 'المرسوم', 'علي', 'قلبتها', 'جنان', 'ياه', 'جايبه', 'جمالها', 'منين', 'بتقول', 'بعيونها', 'ارض', 'اتهدي', 'عليكي', 'قدي', 'تنفع', 'غنوه', 'وانا', 'قاعد', 'سهران', 'طب', 'وانا', 'اجيبها', 'ازاي', 'انا', 'رايح', 'جاي', 'وانا', 'بشاغلها', 'وخدت', 'بالها', 'تلات', 'اربع', 'مرات', 'تبعت', 'نظرات', 'وابتسمتلي', 'وضحكتلها', 'لون', 'الفستان', 'للكحل', 'المرسوم', 'علي', 'قلبتها', 'جنان', 'ياه', 'جايبه', 'جمالها', 'منين', 'بتقول', 'بعيونها', 'ارض', 'اتهدي', 'عليكي', 'قدي', 'تنفع', 'غنوه', 'وانا', 'قاعد', 'سهران', 'بتقول', 'تمشي', 'ازاي', 'واحنا', 'لحقنا', 'احنا', 'لحقنا', 'واستني', 'قايمين', 'واتعلقنا', 'اتعلقنا', 'لون', 'الفستان', 'للكحل', 'المرسوم', 'علي', 'قلبتها', 'جنان', 'جايبه', 'جمالها', 'منين', 'بتقول', 'بعيونها', 'ارض', 'اتهدي', 'عليكي', 'قدي', 'تنفع', 'غنوه', 'وانا', 'قاعد', 'سهران', 'وانا', 'قاعد', 'سهران', 'سهران', 'مكان', 'ناس', 'حلوه', 'ناس', 'حلوه', 'دخلت', 'واحده', 'عملت', 'قلبان', 'قمنا', 'وقلنا', 'الحلوه', 'وانا', 'قاعد', 'سهران', 'سهران', 'مكان', 'ناس', 'حلوه', 'ناس', 'حلوه', 'دخلت', 'واحده', 'عملت', 'قلبان', 'قمنا', 'وقلنا', 'الحلوه']",New in love,**New in love:** The song describes someone being captivated by a beautiful woman they see at a gathering. The lyrics express infatuation and the desire to approach her.
هيعيش يفتكرني,"['انا', 'قلت', 'حدش', 'قاله', 'وعملت', 'حدش', 'عمله', 'يفارقني', 'انا', 'راضي', 'وماله', 'بكره', 'هيعرف', 'غلطه', 'عمره', 'هيعيش', 'يفتكرني', 'يقابل', 'عدي', 'هيفتكرني', 'يتمني', 'انه', 'يقابلني', 'هيعيش', 'يفتكرني', 'يقابل', 'عدي', 'هيفتكرني', 'يتمني', 'انه', 'يقابلني', 'خليه', 'يشوف', 'بقي', 'ابقاله', 'انا', 'ياما', 'عملت', 'حساب', 'زعله', 'انا', 'كلامه', 'وافعاله', 'حاجه', 'هتشفعله', 'هيعيش', 'يفتكرني', 'يقابل', 'عدي', 'هيفتكرني', 'يتمني', 'انه', 'يقابلني', 'هيعيش', 'يفتكرني', 'يقابل', 'عدي', 'هيفتكرني', 'يتمني', 'انه', 'يقابلني', 'هيعيش', 'يفتكرني', 'يقابل', 'عدي', 'هيفتكرني', 'يتمني', 'انه', 'يقابلني', 'هيعيش', 'يفتكرني', 'يقابل', 'عدي', 'هيفتكرني', 'يتمني', 'انه', 'يقابلني']",Goodbyes,"**Goodbyes / Breakup & Regret**

The lyrics describe a speaker who has ended a relationship and believes the other person will eventually regret their actions and miss them. The repetition of ""he/she will live remembering me, encountering [others], he/she will remember me, wishing to meet me"" reinforces this theme of future regret on the part of the ex-partner."
مهرجان,"['بقاش', 'يناسبك', 'ازعل', 'واحسابك', 'ايه', 'غاصبك', 'علي', 'العيشه', 'بقينا', 'تشيلش', 'همي', 'موجود', 'مرمي', 'تفوق', 'ياعم', 'انا', 'همشي', 'اقول', 'الشارع', 'هيه', 'بقاش', 'يناسبك', 'ازعل', 'واحسابك', 'ايه', 'غاصبك', 'علي', 'العيشه', 'بقينا', 'تشيلش', 'همي', 'موجود', 'مرمي', 'تفوق', 'ياعم', 'انا', 'همشي', 'اقول', 'الشارع', 'هيه', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما', 'هتعيشها', 'عليا', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما', 'هتعيشها', 'عليا', 'انت', 'بجد', 'حله', 'بدل', 'السكه', 'اهي', 'وادي', 'مفتوح', 'روح', 'بالسلامه', 'ملامه', 'ليك', 'علامه', 'والسهل', 'جه', 'بيروح', 'انت', 'بجد', 'حله', 'بدل', 'السكه', 'اهي', 'وادي', 'مفتوح', 'روح', 'بالسلامه', 'ملامه', 'ليك', 'علامه', 'والسهل', 'جه', 'بيروح', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما', 'هتعيشها', 'عليا', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما', 'هتعيشها', 'عليا', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما', 'هتعيشها', 'عليا', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما', 'هتعيشها', 'عليا', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما', 'انا', 'هعمل', 'مهرجان', 'مهرجان', 'وخلاص', 'هنسي', 'وحكايتي', 'معاك', 'ياما']",Personal Growth,"**Goodbye/Breakup and Personal Growth:** The song expresses a clear decision to leave a relationship where the speaker feels unappreciated and suffocated. The speaker emphasizes moving on and forgetting the past through creating a ""festival"" (metaphor for celebrating freedom and new beginnings). There's also a sense of empowerment and self-discovery in the decision to leave."
بالضحكة دي,"['بالضحكه', 'قلبي', 'متعلق', 'صورتها', 'دماغي', 'بتعلق', 'اقول', 'احلي', 'الدنيا', 'الجمال', 'هيعلق', 'بالمشيه', 'يتعلم', 'اهي', 'علي', 'هتعلم', 'اقول', 'احلي', 'الدنيا', 'الجمال', 'يتكلم', 'مظبوطه', 'ظبطه', 'فيهاش', 'غلطه', 'فيهاش', 'تلت', 'التلاته', 'بجاملها', 'بجملها', 'حاجه', 'محتاجه', 'كلام', 'والنظره', 'فيا', 'بتاثر', 'حلم', 'عمري', 'بيتفسر', 'اقول', 'احلي', 'الدنيا', 'يعارضني', 'هنهزر', 'مرسومه', 'رسمه', 'بسمه', 'تتفتح', 'قصادها', 'الببان', 'وبتتهاتا', 'الا', 'انا', 'دلعها', 'كمان', 'والنظره', 'فيا', 'بتاثر', 'حلم', 'عمري', 'بيتفسر', 'اقول', 'احلي', 'الدنيا', 'يعارضني', 'هنهزر']",New in love,"New in love: The lyrics express admiration and fascination with someone, describing their beauty and the singer's feelings about them."
عم الطبيب,"['عم', 'الطبيب', 'جنبي', 'بتجيله', 'شكه', 'حالي', 'طول', 'الليل', 'بتشكي', 'عري', 'وكشف', 'شاف', 'الهموم', 'بص', 'باسف', 'وقالي', 'قوم', 'تروحش', 'بني', 'لطبيب', 'يطبك', 'انت', 'علاجك', 'يحبك', 'تروحش', 'ابني', 'لطبيب', 'يطبك', 'انت', 'علاجك', 'يحبك', 'عم', 'الطبيب', 'جنبي', 'بتجيله', 'شكه', 'حالي', 'طول', 'الليل', 'بتشكي', 'عري', 'وكشف', 'شاف', 'الهموم', 'بص', 'باسف', 'وقالي', 'قوم', 'تروحش', 'بني', 'لطبيب', 'يطبك', 'انت', 'علاجك', 'يحبك', 'تروحش', 'ابني', 'لطبيب', 'يطبك', 'انت', 'علاجك', 'يحبك', 'عم', 'العطار', 'اعملي', 'تحبيشه', 'احلي', 'بيها', 'مرار', 'العيشه', 'بص', 'وسال', 'فين', 'يوجعك', 'فرح', 'وزعل', 'يسمعك', 'انا', 'قلت', 'بلوتي', 'الكتمان', 'قالي', 'دواها', 'صحاب', 'جدعان', 'انا', 'قلت', 'بلوتي', 'الكتمان', 'قالي', 'دواها', 'صحاب', 'جدعان', 'شيخ', 'العرب', 'اديني', 'مده', 'دايخ', 'مدوخ', 'هات', 'الخلاصه', 'انا', 'وضعي', 'بوخ', 'قالي', 'دواك', 'وبلاش', 'تقاطع', 'العجيب', 'ابو', 'سر', 'باتع', 'قالي', 'دواك', 'وبلاش', 'تقاطع', 'العجيب', 'ابو', 'سر', 'باتع', 'انا', 'قلت', 'ايه', 'قالي', 'متعوس', 'العلل', 'دواها', 'الفلوس', 'انا', 'قلت', 'ايه', 'قالي', 'متعوس', 'العلل', 'دواها', 'الفلوس', 'طول', 'غلبي', 'طول', 'توهتي', 'اهه', 'جديده', 'علي', 'اهتي', 'دواك', 'لاذذ', 'ادوق', 'عازز', 'السوق']",Personal Growth,"**Personal Growth/Self-Help:** The song describes seeking remedies for emotional and life's problems from various figures (doctor, herbalist, Sheikh), with the ultimate message suggesting that solutions lie in love, friendship, and financial stability. This focus on finding solutions to personal struggles points toward a theme of personal growth and seeking ways to improve one's well-being."
مكانك في قلبي,"['قلبي', 'بعيد', 'عليا', 'بنقابل', 'حبايب', 'جداد', 'صوتك', 'واحشني', 'وضحكتك', 'حبيبي', 'ليا', 'ياما', 'اشوفك', 'اقرب', 'معاد', 'قدرتش', 'انساك', 'والليالي', 'تفوت', 'الليالي', 'اشتاق', 'حبيبي', 'واقول', 'ايامنا', 'واحشاك', 'ناسي', 'انت', 'بقاسي', 'اعيش', 'عمري', 'معاك', 'علي', 'طول', 'قدرتش', 'انساك', 'والليالي', 'تفوت', 'الليالي', 'اشتاق', 'حبيبي', 'واقول', 'ايامنا', 'واحشاك', 'ناسي', 'انت', 'بقاسي', 'كنتش', 'اتخيل', 'فراقنا', 'يطول', 'حدش', 'هيعرف', 'يملي', 'اي', 'مكان', 'تسيبه', 'وعايش', 'حياتي', 'علي', 'الذكريات', 'الدنيا', 'بيعوض', 'حبيبه', 'انا', 'الليل', 'بيجي', 'يصحي', 'قلبي', 'حكايات', 'قدرتش', 'انساك', 'والليالي', 'تفوت', 'الليالي', 'اشتاق', 'حبيبي', 'واقول', 'ايامنا', 'واحشاك', 'ناسي', 'انت', 'بقاسي', 'اعيش', 'عمري', 'معاك', 'علي', 'طول', 'قدرتش', 'انساك', 'والليالي', 'تفوت', 'الليالي', 'اشتاق', 'حبيبي', 'واقول', 'ايامنا', 'واحشاك', 'ناسي', 'انت', 'بقاسي', 'كنتش', 'اتخيل', 'فراقنا', 'يطول', 'قدرتش', 'انساك', 'والليالي', 'تفوت', 'الليالي', 'اشتاق', 'حبيبي', 'واقول', 'ايامنا', 'واحشاك', 'ناسي', 'انت', 'بقاسي', 'اعيش', 'عمري', 'معاك', 'علي', 'طول', 'قدرتش', 'انساك', 'والليالي', 'تفوت', 'الليالي', 'اشتاق', 'حبيبي', 'واقول', 'ايامنا', 'واحشاك', 'ناسي', 'انت', 'بقاسي', 'كنتش', 'اتخيل', 'فراقنا', 'يطول', 'قدرتش', 'انساك', 'والليالي', 'تفوت', 'الليالي', 'اشتاق', 'حبيبي', 'واقول', 'ايامنا', 'واحشاك', 'ناسي', 'انت', 'بقاسي', 'اعيش', 'عمري', 'معاك', 'علي', 'طول']",Goodbyes,"**Goodbyes/Memories**

The lyrics express a deep longing for a past love, inability to forget, and living on memories after a separation. There is a sadness of the goodbyes."
حلوة البدايات,"['حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات', 'حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات', 'شوقي', 'ليك', 'بيحلي', 'ايامي', 'تملي', 'ايه', 'حاصلي', 'حبك', 'فيا', 'حاجات', 'حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات', 'قمرنا', 'سهرنا', 'واشغلنا', 'والله', 'مستني', 'مواعيدنا', 'وكلامنا', 'ونعيش', 'اجمل', 'اوقات', 'وانا', 'وانت', 'وتالتنا', 'فرحتنا', 'والحياه', 'حلوه', 'عايشنها', 'حابينها', 'واهي', 'بجد', 'الحكايات', 'حلوه', 'البدايات', 'حكايات', 'بسهر', 'وياك', 'ونتكلم', 'ونحكي', 'بالساعات', 'جنني', 'هواك', 'للصبح', 'معاك', 'نفرح', 'ونعيش', 'نعوض', 'عمر', 'قبلك', 'فات']",New in love,"New in love: The lyrics express the joy and excitement of a new relationship, focusing on late-night talks, shared happiness, and the feeling of making up for lost time."
زي ما إنتي,"['انتي', 'انتي', 'قمر', 'احلي', 'عمر', 'واما', 'تيجي', 'الكلام', 'سيرتك', 'بقول', 'حبيبتي', 'الغاليه', 'بنت', 'الاصول', 'مستحيل', 'اقبل', 'حقك', 'اي', 'كلمه', 'انتي', 'اعلي', 'انتي', 'نجمه', 'يسالني', 'عليكي', 'بقول', 'نعمه', 'مستحيل', 'اوصف', 'جمالك', 'اقول', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'سايبه', 'جوه', 'قلبي', 'ذكري', 'حلوه', 'صوتك', 'بسمعه', 'وداني', 'غنوه', 'الحقيقه', 'ان', 'الحياه', 'تسوي', 'حبي', 'ليكي', 'البعد', 'يقوي', 'سيبك', 'انتي', 'عامله', 'ايه', 'وازيك', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه', 'انتي', 'انتي', 'انتي', 'الغلاوه', 'والمشاعر', 'متداريه']",Romantic Relationships,"**Romantic Relationships:** The lyrics express deep affection and admiration for a beloved, emphasizing her beauty, value, and the positive impact she has on the singer's life."
يا روقانك,"['روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'العيون', 'ديا', 'محيره', 'قلبي', 'اشتاق', 'عليكي', 'شياكه', 'خطفتني', 'ومشيه', 'عارضه', 'ازياء', 'العيون', 'ديا', 'محيره', 'قلبي', 'اشتاق', 'عليكي', 'شياكه', 'خطفتني', 'ومشيه', 'عارضه', 'ازياء', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'العيون', 'ديا', 'بتخليني', 'الف', 'وادور', 'ملامحك', 'هاديه', 'بتطمن', 'وطالع', 'سحر', 'ونور', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه', 'روقانك', 'روقانك', 'شقيه', 'وحلوه', 'جنانك', 'روقانك', 'روقانك', 'نجمه', 'وعاليه']",New in love,"**New in love:** The lyrics describe admiration and attraction towards someone, focusing on their beauty, charm (""Shakia wa helwa - mischievous and sweet"", ""Janank - your craziness""), and captivating presence. The singer expresses how these qualities have captured their heart and made them long for the person."
روح,"['جرح', 'الهوي', 'الحبايب', 'دوا', 'اه', 'وانا', 'قلبي', 'دايب', 'جرح', 'الهوي', 'الحبايب', 'دوا', 'اه', 'وانا', 'قلبي', 'دايب', 'انسي', 'انا', 'قدرت', 'انسي', 'بينا', 'هنعيشه', 'ذكري', 'انسي', 'انا', 'قدرت', 'انسي', 'بينا', 'هنعيشه', 'ذكري', 'وروح', 'روح', 'ابعد', 'روح', 'روح', 'ياللي', 'تاعبني', 'روح', 'روح', 'ابعد', 'روح', 'روح', 'تاعبني', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'اه', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'خساره', 'خساره', 'خساره', 'خساره', 'علي', 'الايام', 'هتقولي', 'ايه', 'قولته', 'انا', 'حبي', 'ليك', 'اه', 'قلبي', 'شيلته', 'هتقولي', 'ايه', 'قولته', 'انا', 'حبي', 'ليك', 'قلبي', 'شيلته', 'ابقاش', 'علي', 'خسرني', 'جاي', 'ايه', 'جاي', 'تفتكرني', 'اه', 'ابقاش', 'علي', 'خسرني', 'جاي', 'ايه', 'اه', 'جاي', 'تفتكرني', 'روح', 'روح', 'ابعد', 'روح', 'روح', 'تاعبني', 'روح', 'روح', 'ابعد', 'روح', 'روح', 'تاعبني', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'اه', 'انا', 'قلبي', 'سامحك', 'وجرحي', 'سامحك', 'الله', 'يسامحك', 'خساره', 'خساره', 'خساره', 'خساره', 'علي', 'الايام']",Goodbyes,"**Goodbyes/Heartbreak:** The lyrics describe a painful breakup, forgiving someone who caused hurt, and telling them to leave because they are causing trouble. There's a sense of regret and loss associated with the end of the relationship."
بحبه,"['بحبه', 'دلعه', 'وتقله', 'بحبه', 'قله', 'عقله', 'بحبه', 'غيرته', 'عليا', 'بيتهياله', 'بحبه', 'دلعه', 'وتقله', 'بحبه', 'قله', 'عقله', 'بحبه', 'غيرته', 'عليا', 'بيتهياله', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'هلاقي', 'ربعه', 'بحبه', 'وهعمل', 'ايه', 'اه', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'زعلنا', 'بع', 'واطاوعه', 'بحبه', 'وهعمل', 'ايه', 'نار', 'نار', 'حبه', 'ليا', 'نار', 'نار', 'نار', 'نار', 'شاغلني', 'ليل', 'ونهار', 'بحبه', 'واحب', 'عينيه', 'تلاحقني', 'يجنني', 'ويقلقني', 'بحبه', 'وانا', 'بحلفله', 'وعمره', 'صدقني', 'بحبه', 'حبيبي', 'حالاته', 'سوء', 'ظنه', 'وحكاياته', 'هيعقل', 'امتي', 'حبيبي', 'وانا', 'واخد', 'اهتماماته', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'هلاقي', 'ربعه', 'بحبه', 'وهعمل', 'ايه', 'اه', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'زعلنا', 'بع', 'واطاوعه', 'بحبه', 'وهعمل', 'ايه', 'اه', 'انا', 'متعود', 'علي', 'طبعه', 'انا', 'حافظه', 'وخدت', 'زعلنا', 'بع', 'واطاوعه', 'بحبه', 'وهعمل', 'ايه']",Romantic Relationships,"**Romantic relationships:** The lyrics revolve around the singer's love for someone, highlighting their quirks, jealousy, and the singer's acceptance and tolerance of these traits. The repetition of ""بحبه"" (I love him) emphasizes the central theme of romantic love and its complexities."
قدام مرايتها,"['قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'بعيوني', 'شايفها', 'احلي', 'الحلوين', 'تتقل', 'علي', 'كيفها', 'عايز', 'شايف', 'نن', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'بضعف', 'قدامها', 'طب', 'هعمل', 'ايه', 'كفايه', 'كلامها', 'اقدرش', 'عايز', 'شايف', 'قمر', 'انما', 'ايه', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها', 'قدام', 'مرايتها', 'عادي', 'بتدلع', 'براحتها', 'بستناها', 'وبستعجلها', 'تضحكلي', 'وابصلها', 'تختار', 'الوانها', 'تسال', 'راي', 'فستانها', 'طب', 'هختار', 'ازاي', 'وجمالها', 'بيحلي', 'الدنيا', 'بحالها']",New in love,"**New in love:** The lyrics describe a person completely enamored with their partner, admiring their beauty and finding joy in their everyday actions like getting ready in front of the mirror."
يوم تلات,"['تلات', 'تلات', 'بنات', 'ندهوني', 'علي', 'البساط', 'بصات', 'ياناس', 'عجبوني', 'قعده', 'وانبساط', 'وعزموني', 'فتفتوا', 'الفتافيت', 'وفتنوني', 'تلات', 'تلات', 'بنات', 'ندهوني', 'علي', 'البساط', 'بصات', 'ياناس', 'عجبوني', 'قعده', 'وانبساط', 'وعزموني', 'فتفتوا', 'الفتافيت', 'وفتنوني', 'شكلها', 'مؤامره', 'اعشق', 'السمرا', 'اعشق', 'البيضا', 'ام', 'الخدود', 'حمرا', 'الحياه', 'حلوه', 'ويا', 'ام', 'روح', 'حلوه', 'حلوين', 'جننوني', 'اجي', 'اقوم', 'اقول', 'خليني', 'منتهي', 'الجمال', 'مال', 'امشي', 'المكان', 'ايه', 'يمشيني', 'لمه', 'الحلوين', 'بتغريني', 'شعرهم', 'حرير', 'يطير', 'قدامي', 'صعب', 'اشوف', 'احلامي', 'سحرهم', 'خطير', 'يوصف', 'ايه', 'كلامي', 'تلات', 'ايامي', 'عود', 'وعود', 'احلي', 'التاني', 'قلبي', 'يعود', 'ليا', 'ايدي', 'عود', 'قلت', 'اغاني', 'والصباح', 'رباح', 'عجباني', 'كلمه', 'كلمتين', 'الليل', 'قوام', 'عيشنا', 'جميل', 'احلي', 'اتخيل', 'واحده', 'واحده', 'عليا', 'بتمي', 'هعيش', 'عمري', 'قليل', 'تلات', 'تلات', 'بنات', 'ندهوني', 'علي', 'البساط', 'بصات', 'ياناس', 'عجبوني', 'قعده', 'وانبساط', 'وعزموني', 'فتفتوا', 'الفتافيت', 'وفتنوني']",New in love,"New in love: The song describes the singer's infatuation with three girls, their beauty, charm, and the delightful experience of spending time with them."
أول يوم في البعد,"['اول', 'البعد', 'بيعدي', 'سنين', 'عمر', 'عمرين', 'ماشي', 'لوحدك', 'تسال', 'انا', 'رايح', 'فين', 'اول', 'البعد', 'تبات', 'مجروح', 'والاحلام', 'بتروح', 'احساسك', 'وحبيبك', 'سايبك', 'طلوع', 'الروح', 'اول', 'البعد', 'بيعدي', 'سنين', 'عمر', 'عمرين', 'ماشي', 'لوحدك', 'تسال', 'انا', 'رايح', 'فين', 'اول', 'البعد', 'تبات', 'مجروح', 'والاحلام', 'بتروح', 'احساسك', 'وحبيبك', 'سايبك', 'طلوع', 'الروح', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي', 'لينا', 'حياه', 'هنعوضها', 'منين', 'ونعوضها', 'بمين', 'اصعب', 'حاجه', 'تهد', 'ثانيه', 'انت', 'بانيه', 'سنين', 'اول', 'البعد', 'بفكر', 'هعمل', 'ايه', 'بعديه', 'يفارق', 'اغلي', 'حبايبه', 'الله', 'يقويه', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي', 'اول', 'عرفتك', 'قلبي', 'يموت', 'اول', 'مره', 'بفكر', 'عمري', 'بعيشه', 'انا', 'بقي', 'معقول', 'هقدر', 'اسمعلك', 'صوت', 'بنام', 'حبيبي', 'وبصحي']",Goodbyes,"**Goodbyes/Heartbreak:** The lyrics describe the initial pain and aftermath of a separation (""first of the separation,"" ""wounded,"" ""dreams are gone,"" ""beloved has left,"" ""hardest thing to destroy what you built for years""). It expresses the difficulty of moving on and the internal struggle of dealing with the loss."
